is_rental,is_commercial,rent,price,num_bedrooms,area,num_rooms,num_bathrooms,pets,is_new_development,common_charges,is_furnished
1,0,7495.0,,1.0,,3.0,1.5,5.0,0,,1
1,0,4000.0,,1.0,,,1.0,5.0,0,,0
1,0,4250.0,,2.0,900.0,3.0,1.0,1.0,0,,0
1,0,5800.0,,3.0,,5.0,2.0,1.0,0,,0
0,0,,549000.0,0.0,,1.0,1.0,1.0,0,,0
1,1,40000.0,,,7125.0,,5.0,1.0,0,,0
1,1,2200.0,,,900.0,1.0,1.0,5.0,0,,0
0,0,,895000.0,1.0,,3.0,1.0,6.0,0,785.0,0
0,0,,2500000.0,3.0,1706.0,5.0,2.5,1.0,0,1393.0,0
1,0,2000.0,,2.0,1000.0,4.0,1.0,1.0,0,,0
0,0,,999999.0,1.0,800.0,4.0,1.0,1.0,0,1103.0,0
1,0,1575.0,,,,1.0,1.0,1.0,0,,0
1,0,,,,,,,1.0,0,,0
0,1,,17000000.0,,15000.0,,,5.0,0,,0
1,0,3450.0,,1.0,,4.0,1.0,1.0,0,,0
0,0,,5750000.0,4.0,4017.0,8.0,3.5,5.0,0,2808.0,0
1,0,10250.0,,3.0,,6.0,2.5,1.0,0,,0
1,1,7500.0,,,700.0,,,4.0,0,,0
0,0,,715000.0,1.0,,3.0,1.0,1.0,0,,0
1,0,3600.0,,1.0,625.0,3.0,1.0,5.0,0,,0
0,0,,1095000.0,1.0,609.0,3.0,1.0,1.0,0,998.0,0
0,0,,2500000.0,4.0,2100.0,5.0,4.0,1.0,0,2638.0,0
1,0,5250.0,,4.0,1400.0,6.0,2.0,1.0,0,,0
0,0,,725000.0,1.0,800.0,3.0,1.0,4.0,0,,0
1,1,10000.0,,,500.0,,,5.0,0,,0
1,0,6045.0,,2.0,1400.0,4.5,2.0,4.0,0,,0
0,0,,3600000.0,5.0,,8.0,5.5,1.0,0,,0
1,0,1875.0,,,,2.0,1.0,1.0,0,,0
0,0,,17500000.0,7.0,8300.0,12.0,7.5,1.0,0,,0
1,0,2500.0,,2.0,,4.0,2.0,4.0,0,,1
1,0,3929.0,,1.0,,3.0,1.0,5.0,0,,0
0,0,,9000000.0,4.0,4961.0,8.0,3.5,1.0,0,2744.0,0
1,1,6750.0,,,400.0,,,5.0,0,,0
1,0,6000.0,,1.0,700.0,3.0,1.0,1.0,0,,0
0,0,,995000.0,1.0,706.0,3.0,1.0,1.0,0,913.0,0
0,0,,985000.0,1.0,815.0,3.0,1.0,1.0,0,978.0,0
0,0,,234000.0,1.0,,3.0,1.0,4.0,0,,0
0,0,,2250000.0,1.0,2064.0,3.0,2.0,1.0,0,2709.0,0
1,1,,,,,,,,0,,0
1,0,5200.0,,1.0,700.0,3.0,1.0,1.0,0,,0
1,0,3250.0,,1.0,,3.0,1.0,5.0,0,,0
1,0,3850.0,,3.0,,5.0,1.0,5.0,0,,0
1,0,3200.0,,0.0,525.0,2.0,1.0,1.0,0,,1
1,0,3500.0,,1.0,750.0,3.0,1.0,4.0,0,,0
0,0,,579000.0,0.0,525.0,1.0,1.0,1.0,0,,0
1,0,2600.0,,1.0,700.0,3.0,1.0,4.0,0,,0
1,0,1500.0,,,,1.0,1.0,4.0,0,,0
1,0,4299.0,,1.0,865.0,3.0,2.0,4.0,0,,1
0,1,,,,,,,5.0,0,,0
0,0,,4250000.0,3.0,1953.0,,2.5,1.0,0,1188.0,0
0,0,,749000.0,1.0,,4.0,1.0,1.0,0,,0
1,0,24000.0,,4.0,3500.0,10.0,3.0,6.0,0,,1
0,0,,2000000.0,2.0,1417.0,3.0,2.5,1.0,0,1809.0,0
0,0,,520000.0,,500.0,,1.0,1.0,0,,0
0,0,,999000.0,1.0,885.0,4.0,1.0,1.0,0,,0
1,0,6000.0,,2.0,1000.0,4.0,2.0,5.0,0,,0
1,1,8500.0,,,725.0,,,5.0,0,,0
0,0,,9950000.0,5.0,8240.0,,10.0,1.0,0,,0
1,1,18000.0,,,1450.0,,,5.0,0,,0
1,0,2595.0,,0.0,,2.5,1.0,4.0,0,,0
0,0,,995000.0,,,,,1.0,1,,0
0,0,,1050000.0,1.0,650.0,3.0,1.0,1.0,0,231.0,0
1,0,3000.0,,,532.0,2.0,1.0,5.0,0,,0
1,0,3500.0,,1.0,,3.0,1.0,5.0,0,,0
1,0,3800.0,,1.0,,3.0,1.0,1.0,0,,1
1,0,2800.0,,,,,,1.0,0,,1
0,0,,2700000.0,3.0,1689.0,,3.0,1.0,0,1495.0,0
1,0,13500.0,,2.0,1767.0,,2.0,1.0,0,,0
1,0,6000.0,,1.0,700.0,3.0,1.0,1.0,0,,0
