apt_id,rank_id
894458,"857043,887479,512158,52727,755195,544270,863109,889352,623128,701032,34820,34827,34826,34825,855703,268204,821722,815204,708233,864030,843274,805041,861741,658390,696816,884527,791229,252693,749137,900151,595358,889265,813865,71577,534081,908865,73618,888808,369895,369894,73289,30300,559440,49327,895091,30301,792853,795324,821308,896094,58087,887424,831715,30923,30299,841289,792810,30303,34833,792811,24058,889421,728041,908364,908363,30302,792809,877344,651541,30334,841098,792816,43098,824037,851487,887405,792815,754277,908244,884031,70266,899332,749743,73662,847727,773092,651542,903521,899351,873869,802600,752235,71720,887351,909349,884014,869732,792851,582563,810000,800665,857472,764622,906529,792798,824030,822281,892656,756720,562614,56705,56704,799953,52468,895093,41795,841369,836961,68785,68786,73266,806242,838736,66432,870861,744206,887463,908332,833986,800108,773375,859341,840721,808995,855683,776905,61810,909547,825344,38204,866803,774001,889242,875835,829877,876216,873633,904752,876237,737072,833277,458396,851475,899354,804963,39487,39488,909455,896237,841932,897320,774376,629881,879576,897294,793863,903165,770590,462728,47487,823135,577455,751101,907147,793333,890188,871873,859077,730844,69878,803896,866899,840633,847360,252706,837457,886259,884522,67884,818826,745474,751179,809434,744093,755545,860116,802364,793816,857442,743932,697916,810680,579187,559451,876266,846856,859212,72215,72216,840324,838638,859131,873516,766601,70786,578384,785330,70267,860149,860150,547999,416378,855712,847753,395109,396452,758731,792927,895300,871168,826210,743413,809430,788955,506865,506864,574961,900139,829491,794244,857443,844080,787378,832418,833248,574987,574985,757712,836041,858527,747125,375581,835141,901921,451358,522421,829196,845359,817968,475554,873608,820217,414123,523799,846623,806159,822550,805492,611705,797436,877093,810039,765792,793447,706654,821477,885661,895092,792941,766617,864019,745155,860921,57624,745164,817983,847411,837441,878538,574988,575000,800682,44047,799007,892722,901844,843125,596782,785517,751981,479459,858529,838883,902179,838741,808936,838786,761844,711559,773302,552576,653269,901653,855701,755390,869944,882272,845689,873526,779615,862966,779137,831493,48672,458622,694367,793352,757605,843360,818037,855699,794804,863914,676759,883283,765017,799367,865502,865501,842976,808253,838468,753114,715050,829962,841981,846822,756316,871033,858528,400355,661899,771934,828726,71999,732381,817995,898068,819499,834234,800673,800535,771924,780510,715047,790211,841097,827140,818275,462657,800661,860125,892727,605344,712629,825164,43645,57979,802773,714220,838474,765525,798356,62334,568593,742664,822505,820121,818148,55816,838467,64484,64483,869875,901407,614994,60380,68254,840989,759853,795210,880203,894844,774857,752238,830762,678874,627941,763546,863058,63414,835261,847747,817705,834217,828762,887423,403290,653746,676664,574986,561788,869861,691969,808494,892404,898070,526750,674064,859232,691573,806285,737421,804355,609860,587838,587837,715401,888550,812800,800683,492122,811516,652411,866893,403068,815757,39812,66124,66123"
70266,"595358,884527,863109,888808,73618,49327,623128,887424,708233,889421,544270,869732,24058,30923,877344,30299,800108,651541,887463,30334,851487,30301,908244,840721,792816,792798,831715,824037,30300,799953,792815,71720,884031,651542,73289,903521,66432,534081,562614,892656,696816,800665,577455,908865,843274,52468,701032,813865,71577,68785,68786,744206,805041,889265,895093,369894,369895,873633,900151,268204,252693,818826,658390,889352,904752,559440,894458,755195,582563,39487,39488,791229,855701,899354,458396,578384,815204,34825,34826,34827,34820,864030,907147,764622,737072,512158,559451,857043,908332,794244,396452,395109,52727,909547,614994,547999,855683,873869,43098,887351,749743,72216,72215,861741,30302,754277,841289,908363,908364,792941,828726,728041,30303,611705,69878,34833,855703,629881,887479,792809,792810,749137,792853,792811,806242,866803,56705,56704,73662,899332,895091,773092,752235,899351,909349,828762,795324,896094,41795,841098,873608,909455,58087,596782,870861,73266,561788,756720,711559,906529,821722,887405,901407,897320,869875,836961,847727,792927,847753,838736,884014,892404,61810,810000,857472,792851,824030,38204,821308,416378,57624,840633,876216,822281,773375,800682,859341,841369,875835,876237,879576,47487,876266,871873,751101,770590,846856,822550,860149,860150,252706,744093,755545,751179,745474,743413,809434,766601,803896,897294,802600,462728,823135,653746,890188,793816,840324,903165,847360,860116,886259,70786,793863,67884,873516,864019,857442,730844,884522,462657,859077,793333,866899,766617,837457,838638,859131,579187,810680,802364,743932,837441,808995,808494,833277,776905,697916,829877,804963,825344,787378,774001,889242,788955,70267,902179,896237,841932,833986,866893,851475,57979,888550,859212,829491,895300,747125,817968,774376,785330,506864,506865,44047,751981,845689,815757,817983,785517,847411,809430,821477,758731,39812,871168,451358,479459,855712,745155,745164,833248,860921,522421,523799,829196,414123,844080,901921,375581,832418,836041,806159,475554,458622,810039,835141,843360,797436,653269,873526,895092,552576,900139,757712,765792,826210,858527,706654,846623,818037,574961,805492,838468,753114,715050,48672,661899,877093,857443,885661,827140,799007,793447,574987,574985,820217,869861,841097,400355,780510,892727,755390,845359,43645,892722,901844,843125,898068,793352,838741,847747,822505,808936,878538,676759,742664,838883,855699,838474,802773,765525,714220,761844,798356,71999,55816,862966,898070,732381,773302,818275,817995,64483,64484,869944,838786,694367,779615,779137,757605,901653,575000,574988,62334,820121,838467,883283,858529,765017,817705,794804,842976,882272,808253,68254,829962,841981,894844,800673,795210,800535,819499,771934,834234,771924,800661,831493,863914,799367,825164,846822,830762,865501,865502,860125,756316,858528,752238,568593,605344,712629,774857,715047,60380,871033,763546,790211,678874,63414,759853,835261,880203,863058,840989,887423,403290,627941,834217,676664,818148,574986,691969,526750,674064,737421,691573,806285,859232,804355,609860,715401,800683,587837,587838,812800,492122,811516,403068,652411,66123,66124"
582563,"749743,43098,841289,728041,908332,831715,30301,737072,30299,855683,651541,30334,30300,884031,69878,805041,907147,851487,34826,34825,34827,73662,696816,795324,30302,896094,901407,34833,900151,869875,611705,701032,908364,908363,889265,268204,34820,899332,791229,863109,30303,749137,847727,41795,864030,792853,909547,30923,904752,24058,752235,884014,658390,651542,877344,595358,908244,792798,887405,843274,792811,792809,799953,66432,792810,623128,866803,895091,71720,578384,512158,773092,824037,887351,792816,754277,792815,562614,899351,903521,534081,708233,58087,873869,840721,873633,841098,888808,870861,52468,755195,887463,815204,857472,458396,596782,68786,68785,889352,895093,369894,369895,892656,889421,841369,869732,821308,52727,39488,39487,909455,828726,875835,792851,773375,857043,884527,873608,899354,821722,547999,73618,824030,792927,49327,887479,887424,800665,800108,756720,764622,629881,252693,909349,876216,828762,813865,901921,908865,544270,818826,785330,810039,744206,833248,836041,840633,71577,844080,900139,857443,906529,806159,805492,559440,858527,574961,416378,797436,522421,829196,574985,574987,523799,395109,396452,806242,706654,414123,895092,475554,479459,757712,793447,835141,885661,877093,73289,832418,743932,462728,802600,375581,846623,809430,711559,794244,859341,871168,845359,697916,70266,800682,765792,871873,793816,879576,903165,847411,770590,823135,886259,252706,793863,876237,873516,894458,776905,72216,72215,878538,808995,861741,882272,897294,792941,838638,802364,774001,799007,577455,837457,818037,884522,843360,857442,838883,730844,829491,901844,843125,892722,755545,751179,744093,70267,73266,57624,858529,838786,825344,745474,809434,838468,753114,715050,820217,793333,808494,838741,829877,846856,761844,817995,855703,574988,774376,787378,799367,788955,833277,70786,838736,575000,855701,833986,779615,808936,862966,831493,694367,860116,859212,895300,773302,676759,808253,779137,462657,804963,826210,898068,765017,47487,56705,56704,863914,876266,883283,841097,841932,851475,757605,743413,865501,865502,890188,818275,765525,43645,847360,840324,836961,827140,866899,892727,742664,559451,838474,802773,714220,859077,579187,841981,756316,57979,715047,61810,846822,71999,820121,766601,793352,822550,810000,653746,858528,840989,834234,800535,800673,771924,819499,62334,860149,860150,752238,859131,838467,800661,829962,889242,614994,842976,771934,732381,68254,712629,605344,845689,888550,860125,825164,896237,822505,759853,38204,795210,817968,774857,897320,790211,751101,855712,894844,803896,67884,763546,902179,892404,751981,901653,830762,817983,627941,810680,869944,794804,817705,451358,745164,44047,860921,847747,864019,880203,661899,835261,837441,863058,871033,822281,552576,785517,458622,678874,834217,873526,866893,48672,821477,818148,676664,568593,758731,815757,506865,506864,745155,898070,766617,847753,60380,747125,869861,574986,653269,63414,798356,561788,400355,691969,780510,526750,39812,691573,403290,887423,859232,55816,587838,587837,755390,674064,737421,715401,806285,855699,800683,804355,609860,812800,492122,403068,652411,811516,64484,64483,66124,66123"
899351,"899332,73662,887405,41795,841289,792811,909349,792851,728041,792809,908363,908364,43098,824030,792810,908332,857472,895091,792853,896094,795324,866803,773375,30303,752235,873869,791229,864030,34833,847727,906529,30302,806242,34825,34826,34827,34820,884014,629881,754277,887351,841369,773092,876216,859341,841098,875835,562614,821722,58087,743932,802600,855683,870861,821308,697916,805041,907147,582563,749743,909547,876237,878538,837457,901844,892722,843125,838786,756720,838883,749137,773302,838741,761844,808936,66432,833986,846856,787378,737072,779615,574988,73266,575000,779137,831493,765017,694367,414123,475554,810039,858529,873633,901921,829196,883283,757605,706654,797436,806159,846623,842976,895092,863914,522421,765792,715047,69878,808253,865502,865501,523799,790211,885661,836041,889265,840633,844080,833248,846822,898068,832418,512158,841981,835141,757712,887479,858527,756316,375581,858528,901653,829962,841097,862966,805492,771934,802773,765525,838474,714220,416378,71999,712629,605344,877093,819499,834234,800673,771924,800535,793447,818275,43645,799007,794804,860125,825164,882272,755195,838467,800661,611705,820121,458396,799367,759853,701032,268204,574961,900139,70267,820217,696816,845359,38204,857443,627941,574985,574987,901407,871168,869875,909455,676759,809430,845689,763546,795210,52727,857043,860921,894844,873608,774857,851487,843360,838468,753114,751981,715050,880203,661899,30301,818037,30300,847411,785330,840989,908865,30299,479459,534081,843274,855703,831715,623128,855712,892656,830762,651541,817995,826210,708233,863058,835261,792816,889352,30334,824037,815204,861741,884031,792815,596782,57979,903521,894458,658390,506865,506864,732381,800108,792927,900151,834217,887463,547999,840721,829491,70786,676664,369894,369895,818148,863109,595358,71577,678874,30923,747125,877344,68786,68785,895093,24058,711559,462728,869944,884527,578384,821477,451358,396452,395109,908244,651542,800682,71720,899354,792798,252693,745164,859212,888808,73618,799953,828726,904752,745155,70266,841932,49327,462657,887424,793352,813865,896237,544270,764622,800665,833277,804963,792941,895300,847747,568593,889421,653269,458622,574986,52468,873526,817705,60380,552576,559440,48672,851475,744206,829877,56705,56704,869732,577455,57624,63414,587838,587837,808995,780510,827140,892727,828762,808494,776905,400355,889242,742664,691969,774001,798356,825344,818826,39487,39488,73289,822505,62334,766601,526750,860150,860149,887423,55816,859232,64484,64483,691573,403290,871033,838638,68254,752238,774376,873516,810000,859131,817983,822281,653746,879576,72216,72215,890188,871873,897294,788955,47487,770590,252706,823135,866899,886259,44047,730844,847360,884522,755545,745474,809434,744093,751179,903165,793863,859077,579187,793333,857442,793816,802364,559451,817968,785517,674064,822550,737421,794244,864019,840324,837441,876266,715401,61810,855701,67884,803896,751101,888550,836961,902179,758731,860116,838736,810680,743413,811516,806285,847753,804355,766617,609860,614994,800683,812800,492122,403068,892404,897320,652411,869861,898070,815757,866893,39812,755390,561788,855699,66123,66124"
869861,"898070,62334,793352,859077,755390,892727,47487,802364,827140,903165,890188,822505,866899,847360,793816,742664,897294,743413,860150,860149,766601,817705,884522,252706,897320,809434,886259,847411,822550,879576,730844,857442,859131,770590,579187,838638,745474,751179,755545,744093,873516,871873,829491,793333,864019,847747,793863,837441,68254,785517,810680,889242,810039,855699,823135,803896,808995,776905,788955,804963,860116,752238,61810,840324,829877,774001,838736,785330,751101,876266,833277,825344,475554,414123,836961,706654,836041,841932,901921,902179,871168,833248,522421,851475,766617,844080,829196,896237,858527,523799,878538,809430,757712,859212,857443,900139,846623,758731,832418,806159,797436,805492,820217,847753,774376,895092,885661,761844,901844,877093,835141,843125,70786,845359,574961,765792,838883,892722,71999,810000,840989,838741,793447,808253,822281,843360,858529,841097,863914,898068,375581,574985,694367,865501,865502,808936,574987,799007,43645,773302,818037,715050,817968,774857,756316,838468,753114,462728,479459,779137,779615,765525,574988,831493,826210,714220,883283,575000,802773,757605,838474,838786,800535,712629,605344,834234,819499,771924,800673,765017,800661,841981,818275,842976,829962,858528,771934,862966,882272,846822,676759,815757,732381,817983,820121,795210,825164,838467,817995,860125,894844,830762,799367,715047,880203,790211,859232,759853,627941,691969,70267,799953,792798,574986,596782,763546,67884,818826,901653,808494,863058,835261,794804,30334,582563,696816,834217,30301,68786,68785,904752,69878,701032,873608,30299,30300,651541,884031,895093,855701,751981,903521,831715,860921,737072,268204,892404,824037,899354,526750,39812,792816,792815,851487,892656,614994,676664,578384,752235,907147,908332,818148,901407,869875,792927,909455,800682,691573,840721,674064,800108,887463,512158,889352,889265,900151,369895,369894,55816,658390,43098,764622,561788,841289,888550,908364,908363,73662,896094,887405,728041,711559,792853,792941,749743,396452,395109,792809,841369,547999,887351,792810,899351,41795,895091,30923,792811,811516,884014,800665,795324,908244,24058,899332,847727,887424,744206,71720,52468,794244,863109,73618,49327,651542,824030,773375,39488,39487,869732,56704,56705,792851,805041,870861,595358,877344,888808,884527,906529,773092,857472,66432,908865,875835,562614,889421,458396,611705,866803,743932,873633,876216,697916,887479,843274,57624,623128,587838,587837,755195,70266,534081,828726,708233,813865,577455,828762,73289,544270,30302,787378,252693,71577,749137,34826,34820,34827,34825,559440,845689,800683,72216,72215,791229,715401,30303,34833,754277,855683,864030,58087,873869,841098,859341,894458,629881,866893,909349,857043,909547,756720,462657,876237,806242,837457,559451,840633,815204,52727,57979,821722,416378,821308,73266,846856,802600,833986,895300,861741,804355,609860,38204,855703,812800,403068,492122,653746,678874,661899,871033,506864,506865,855712,887423,780510,653269,451358,745155,48672,568593,873526,403290,60380,869944,747125,798356,745164,458622,821477,400355,63414,552576,806285,652411,64483,64484,737421,66124,66123,44047"
678874,"400355,697916,780510,63414,743932,798356,787378,875835,587838,587837,837457,403290,887423,859341,860125,825164,845689,812800,653269,773375,846856,60380,835261,609860,834217,804355,833986,863058,771934,894844,676664,829962,676759,830762,818148,605344,712629,862966,876237,763546,403068,858528,846822,492122,842976,880203,627941,860921,871033,757605,574988,506864,506865,806285,575000,771924,819499,883283,574986,652411,794804,779137,795210,800673,800535,834234,790211,841981,896237,756316,838467,824030,800661,759853,691969,765017,901653,773302,859232,808936,715047,526750,73266,691573,876216,774857,55816,758731,71999,863914,800683,865502,865501,831493,779615,822281,792851,826210,889242,674064,48672,799007,737421,694367,56704,56705,820217,375581,873526,715401,732381,820121,765792,838786,802773,714220,838474,858529,884014,851475,38204,838741,43645,799367,821477,761844,832418,574961,818275,574987,574985,892722,843125,901844,869861,765525,793352,890188,766601,829491,47487,751981,860150,860149,847360,757712,900139,859077,866899,808253,870861,847747,864019,822505,838883,579187,859131,847411,837441,802600,841097,835141,847727,877093,715050,838468,753114,857472,855699,751101,793447,803896,895091,70786,785517,67884,847753,766617,857443,846623,898068,810680,843360,855712,756720,882272,895092,906529,818037,845359,58087,878538,475554,829196,414123,840633,805492,706654,792810,858527,844080,885661,833248,821308,797436,792853,522421,792811,804963,523799,792809,752235,871168,887405,70267,817995,821722,896094,773092,809430,841098,841932,894458,836041,859212,806159,899351,833277,817983,909349,901921,825344,810039,829877,908363,908364,795324,806242,808995,552576,887351,887479,774376,785330,855703,479459,840989,776905,512158,754277,458622,774001,745164,873869,817968,873516,841369,899332,838638,793816,864030,908865,30303,903165,34820,838736,568593,866803,886259,791229,871873,451358,889352,41795,823135,73662,793863,810000,805041,770590,252706,788955,879576,841289,840324,860116,34833,30302,802364,728041,43098,857442,869944,876266,861741,629881,749137,884522,897294,34825,34827,34826,792816,822550,252693,61810,71577,800108,730844,824037,744093,751179,755545,70266,792815,857043,884527,897320,755195,745474,743413,809434,793333,369895,369894,836961,562614,813865,902179,752238,544270,742664,559440,903521,745155,892656,909547,52727,909455,827140,892727,68254,73618,908332,62334,889265,907147,49327,462728,898070,737072,66432,577455,895300,57979,887424,800665,817705,458396,701032,268204,895093,44047,831715,873608,68785,68786,815204,843274,755390,708233,744206,73289,582563,873633,623128,696816,764622,818826,863109,749743,559451,855683,899354,416378,30301,534081,800682,30299,30300,792941,711559,900151,595358,851487,30923,747125,661899,651541,30334,892404,877344,24058,69878,840721,884031,651542,887463,658390,908244,792798,71720,799953,811516,653746,888808,52468,889421,904752,855701,611705,578384,808494,596782,869732,547999,792927,866893,39488,39487,462657,395109,396452,828726,561788,888550,614994,869875,901407,828762,57624,815757,72216,72215,64484,64483,39812,794244,66123,66124"
866893,"653746,855701,614994,869732,895300,863109,547999,595358,623128,578384,396452,395109,745164,889421,888808,451358,901407,855712,869875,611705,904752,708233,552576,828726,792941,828762,39488,39487,458622,892404,582563,48672,873526,908244,596782,651542,805041,52468,30334,799953,71720,884031,794244,792798,69878,24058,30923,831715,34825,34826,34827,887424,821477,30299,49327,30301,877344,73618,506865,506864,651541,851487,873633,30300,66432,745155,869944,884527,871033,843274,696816,791229,815757,34820,855683,562614,889265,39812,864030,701032,561788,73289,72215,72216,808494,908332,711559,755195,840721,268204,534081,400355,818826,798356,888550,900151,70266,747125,887463,653269,873608,544270,57624,68786,68785,792927,568593,899354,780510,895093,749743,744206,815204,841289,43098,728041,800665,30302,737072,800682,512158,903521,909547,34833,73662,857043,658390,892656,458396,907147,749137,841369,792815,52727,824037,792816,30303,60380,752235,41795,678874,899332,462657,764622,909455,577455,908865,795324,866803,661899,63414,896094,887405,894458,800108,369894,369895,813865,73266,559451,841098,838736,861741,559440,889352,58087,252693,887479,887423,416378,403290,847727,71577,629881,773092,884014,756720,840633,857472,754277,908363,908364,897320,870861,873869,887351,821308,836961,806285,899351,61810,792809,792853,792810,792811,810000,909349,773375,806242,895091,38204,876216,876237,859341,462728,802600,906529,44047,792851,800683,903165,804355,879576,871873,793816,824030,875835,823135,838638,821722,70267,837457,886259,57979,770590,898070,743932,252706,860116,793863,873516,609860,846856,876266,808995,776905,840324,785517,697916,802364,897294,785330,869861,56704,56705,743413,812800,774001,884522,855703,857442,833986,730844,744093,755545,751179,892727,827140,829877,825344,742664,70786,788955,809434,745474,492122,833277,793333,587837,587838,479459,901921,774376,822550,62334,787378,752238,809430,841932,810039,68254,522421,871168,751981,844080,806159,804963,836041,523799,859212,833248,847753,822281,845689,829196,797436,805492,858527,475554,895092,706654,414123,860921,885661,878538,793352,900139,857443,817968,855699,840989,47487,755390,751101,757712,822505,851475,890188,832418,846623,838883,574961,835141,818037,877093,793447,803896,892722,901844,843125,859077,766601,866899,847360,902179,860150,860149,67884,574985,574987,843360,838741,375581,829491,845359,810680,579187,765792,761844,403068,817983,838786,753114,838468,715050,858529,898068,799007,808253,859131,817705,818275,841097,817995,808936,765525,694367,779615,847411,43645,882272,773302,802773,714220,838474,863914,766617,779137,889242,574988,865501,865502,831493,64484,64483,575000,896237,864019,55816,765017,847747,71999,757605,820121,756316,841981,883283,800661,800673,834234,800535,837441,819499,771924,826210,774857,838467,862966,829962,858528,795210,652411,846822,676759,605344,712629,771934,715047,830762,894844,820217,825164,860125,901653,799367,794804,811516,842976,759853,758731,763546,627941,732381,863058,835261,790211,834217,880203,574986,818148,676664,691969,674064,526750,691573,859232,737421,715401,66124,66123"
751101,"252706,884522,876266,886259,809434,879576,857442,836961,770590,745474,751179,755545,897294,793333,744093,871873,838736,61810,766601,793863,579187,859131,873516,860116,847360,866899,743413,793816,808995,890188,788955,889242,776905,838638,903165,803896,766617,47487,774001,823135,810000,804963,829877,860149,860150,822281,840324,730844,810680,833277,859077,855699,826210,825344,829491,841932,802364,851475,822550,896237,847753,785330,864019,897320,70786,847411,758731,774376,810039,837441,859212,836041,902179,871168,414123,742664,475554,827140,901921,833248,809430,844080,892727,857443,829196,706654,900139,858527,757712,908244,523799,755390,878538,744206,832418,877344,817968,845359,895092,574961,805492,806159,820217,901653,885661,797436,877093,793447,522421,843274,846623,794804,574985,835141,765792,793352,901844,70267,574987,755195,817983,813865,534081,843125,752238,375581,761844,892722,559440,838883,799007,858529,843360,800665,696816,30334,68786,68785,651542,30923,73618,651541,30301,884031,838741,24058,30299,887424,794244,701032,49327,895093,30300,715050,52468,904752,882272,268204,838468,903521,753114,869732,71720,831715,863109,39488,39487,888808,808253,694367,857043,792816,792815,824037,884527,62334,899354,889421,865502,865501,574988,831493,851487,808936,818037,575000,756316,773302,863914,799367,841097,779615,595358,898068,765017,779137,838786,908865,578384,892656,757605,73289,577455,765525,71999,862966,43645,840989,369895,369894,544270,889352,841981,676759,714220,764622,751981,512158,623128,900151,252693,732381,818826,658390,819499,771924,479459,802773,800535,834234,817995,838474,842976,792798,799953,883283,800661,860921,800673,708233,846822,889265,829962,858528,715047,71577,582563,785517,771934,820121,818275,462728,749137,72215,72216,817705,790211,774857,894458,855683,605344,712629,737072,825164,822505,838467,458396,559451,795210,815204,860125,873869,52727,759853,805041,841098,611705,880203,840721,70266,800108,887463,66432,894844,907147,821722,901407,627941,869875,873633,887479,67884,674064,861741,847747,830762,763546,859232,859341,909349,888550,855703,56705,56704,752235,43098,562614,30302,841289,908364,908363,728041,898070,34833,34826,34820,34827,34825,840633,30303,754277,908332,69878,863058,835261,869861,828726,58087,792853,828762,896094,749743,837457,791229,691969,68254,864030,895091,711559,847727,795324,876237,792811,884014,574986,834217,873608,792809,792810,547999,55816,676664,887405,73662,899351,899332,818148,821308,596782,416378,846856,808494,526750,773375,887351,792941,396452,395109,792851,824030,909455,629881,875835,833986,41795,909547,857472,773092,756720,870861,806242,691573,792927,743932,57624,841369,800682,561788,802600,697916,715401,866803,800683,876216,906529,73266,462657,787378,811516,812800,845689,609860,38204,895300,804355,892404,855701,39812,614994,815757,492122,403068,57979,653746,855712,871033,506864,506865,678874,568593,873526,747125,48672,458622,887423,780510,400355,745155,869944,451358,653269,661899,403290,552576,745164,821477,60380,798356,63414,866893,806285,652411,64483,64484,737421,66124,66123,587837,587838,44047"
901844,"843125,892722,838883,838741,761844,858529,694367,895092,865502,865501,863914,831493,877093,43645,765792,841097,808253,756316,898068,765525,797436,757712,900139,878538,808936,832418,882272,793447,714220,846623,779615,805492,885661,773302,765017,802773,779137,838474,806159,838786,523799,799007,844080,829196,799367,820121,757605,835141,883283,818275,857443,833248,715050,800535,715047,834234,845359,841981,771924,819499,843360,71999,838468,858527,753114,800661,574961,800673,522421,751981,375581,858528,818037,838467,574985,574988,575000,901921,846822,70267,795210,574987,809430,901653,605344,712629,829962,759853,790211,842976,871168,771934,862966,414123,475554,774857,706654,825164,817995,794804,627941,676759,860921,836041,763546,894844,887405,880203,860125,820217,857472,773375,899332,884014,73662,847727,830762,785330,896094,851475,795324,41795,732381,835261,863058,841932,792851,824030,899351,866803,859341,896237,876216,752235,840989,802600,841098,875835,43098,834217,859212,818148,825344,810039,826210,676664,841289,728041,895091,479459,817983,743932,833277,908332,58087,30303,773092,870861,791229,697916,864030,909349,70786,792811,876237,34820,837457,526750,792809,821308,774376,908364,908363,792810,30302,574986,804963,792853,34833,829877,756720,629881,833986,34825,34827,34826,73266,906529,829491,873869,846856,855683,808995,841369,691573,805041,806242,754277,774001,840633,817968,562614,823135,869875,691969,901407,909547,907147,55816,887351,787378,821722,776905,715401,416378,582563,847411,66432,611705,749137,812800,737072,873633,887479,749743,810000,871873,512158,793863,859232,845689,855712,752238,889242,889265,770590,822281,879576,838638,69878,57979,609860,458396,873516,674064,873608,788955,744093,804355,886259,678874,755545,38204,909455,793333,751179,579187,252706,808494,745474,828762,892656,708233,857442,755195,873526,403068,578384,492122,711559,859131,623128,828726,48672,831715,800682,809434,857043,821477,742664,884522,68786,68785,766601,895093,815204,506864,506865,843274,903521,824037,792816,792815,60380,792941,861741,899354,52727,851487,860150,860149,534081,904752,871033,888550,798356,751101,855703,400355,596782,908865,30334,30301,836961,30299,902179,884031,63414,800108,897294,889352,369895,369894,651541,894458,876266,696816,764622,701032,847753,30300,268204,547999,653746,847360,653269,793816,866899,800683,838736,887423,864019,595358,403290,887424,743413,780510,73618,49327,71577,800665,56704,56705,890188,744206,840721,863109,793352,884527,818826,900151,745164,651542,552576,908244,837441,827140,30923,903165,24058,70266,451358,877344,71720,887463,73289,544270,813865,577455,869944,252693,47487,458622,559440,792927,52468,39487,39488,869732,840324,892727,766617,462657,658390,860116,559451,395109,396452,730844,792798,799953,888808,568593,61810,889421,72215,72216,758731,822550,794244,815757,57624,859077,745155,803896,661899,895300,810680,892404,39812,802364,847747,817705,747125,822505,62334,855701,866893,869861,897320,785517,614994,561788,898070,855699,68254,811516,462728,755390,67884,806285,652411,64484,64483,737421,66124,66123,587838,587837,44047"
869875,"901407,611705,582563,841289,728041,43098,749743,908332,578384,907147,855683,737072,805041,795324,34825,34827,34826,896094,828762,30302,73662,899332,889265,34833,904752,749137,847727,831715,34820,30303,873633,884014,752235,791229,828726,851487,908364,908363,864030,887405,66432,792853,41795,30334,458396,884031,792811,792809,69878,895091,30299,792810,30301,651541,30300,58087,909547,773092,857472,416378,696816,841098,870861,701032,562614,899351,866803,595358,268204,892656,899354,754277,869732,708233,873869,39487,39488,821308,68785,68786,512158,900151,895093,71720,623128,887351,651542,773375,863109,836041,875835,52468,908244,794244,889421,810039,24058,841369,888808,833248,72216,72215,901921,30923,903521,844080,806159,755195,808494,805492,840721,877344,799953,792798,858527,534081,596782,887479,873608,792815,824037,792851,792816,887463,764622,824030,658390,414123,475554,885661,840633,797436,785330,843274,821722,829196,809430,835141,522421,877093,756720,523799,706654,547999,895092,818826,757712,832418,857043,793447,876216,629881,909349,845359,369895,369894,375581,871168,744206,846623,889352,847411,857443,743932,800665,908865,900139,887424,711559,765792,884527,73618,909455,49327,859341,800108,479459,815204,878538,574985,574987,574961,882272,802600,697916,800682,70267,906529,792927,52727,71577,888550,73289,799007,838883,858529,901844,843125,892722,395109,396452,829491,873516,837457,838638,818037,813865,876237,838741,792941,838786,833277,806242,843360,820217,252693,544270,574988,799367,838468,753114,715050,761844,575000,829877,559440,462728,577455,817995,859212,70786,793816,70266,871873,808253,903165,808995,823135,808936,770590,879576,831493,804963,252706,861741,886259,788955,779615,765017,653746,773302,776905,694367,73266,825344,779137,862966,793863,863914,57624,846856,865502,865501,860150,860149,841932,676759,787378,883283,833986,898068,857442,802364,559451,744093,755545,751179,897294,774001,757605,884522,841097,841981,57979,745474,809434,43645,730844,840324,818275,756316,765525,894458,774376,56704,56705,766601,715047,838474,802773,714220,858528,793333,846822,876266,800673,834234,800535,462657,771924,819499,820121,71999,826210,842976,838736,855703,829962,800661,712629,605344,771934,840989,838467,47487,851475,860116,810000,859131,825164,61810,890188,845689,759853,860125,790211,774857,732381,859077,822550,847360,866899,815757,579187,795210,743413,896237,627941,901653,836961,793352,894844,751981,889242,817968,817983,38204,742664,892727,827140,763546,830762,855712,68254,794804,860921,895300,752238,67884,803896,902179,62334,880203,751101,810680,822505,897320,847747,835261,864019,863058,892404,837441,614994,855701,817705,834217,39812,745164,866893,561788,818148,678874,552576,676664,869944,451358,822281,873526,48672,821477,458622,871033,766617,847753,44047,785517,506865,506864,574986,661899,758731,568593,60380,400355,745155,798356,63414,526750,691969,653269,780510,691573,55816,887423,403290,859232,587837,587838,747125,869861,898070,674064,737421,755390,806285,715401,800683,804355,609860,812800,855699,403068,492122,652411,811516,64483,64484,66124,66123"
