0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
894458,544270,73289,857043,52727,855703,861741,252693,815204,813865,559440,71577,559451,72216,72215,561788,749137,821722,57624,416378,821308,863109,623128,708233,884527,595358,888808,73618,49327,889421,887424,70266,869732,755195,843274,534081,908865,877344,908244,651542,71720,800665,52468,744206,39487,39488,577455,794244,38204,828726,805041,34827,34820,34825,34826,887479,889352,828762,56704,56705,658390,900151,396452,395109,864030,369895,369894,791229,547999,764622,792941,840633,34833,614994,754277,30923,30303,855701,462657,66432,873633,24058,855683,711559,888550,756720,873869,611705,892404,39812,909455,802600,749743,841098,57979,792927,800682,30302,909547,58087
70266,595358,623128,708233,884527,863109,888808,73618,49327,889421,887424,869732,577455,908865,534081,877344,908244,651542,71720,800665,52468,744206,755195,39488,39487,843274,794244,828726,828762,66432,873633,805041,791229,34827,34826,34820,34825,864030,395109,396452,547999,611705,792941,30923,38204,855683,754277,34833,24058,873869,30303,711559,888550,840633,614994,462657,855701,892404,39812,841098,756720,909547,30302,458396,58087,562614,544270,73289,806242,894458,71577,559451,72216,72215,813865,559440,252693,857043,861741,855703,815204,909349,52727,887463,800108,840721,892656,578384,851487,889265,651541,792816,824037,30299,30334,792815,831715,30301,30300,884031
582563,737072,596782,869875,901407,808494,887351,907147,43098,908363,908364,728041,841289,792853,815757,845689,773092,792811,458396,896094,895091,795324,792809,831715,30301,30299,30300,792816,651541,824037,792815,30334,884031,903521,696816,792810,895093,851487,68785,68786,904752,899354,701032,268204,792798,799953,892656,818826,887463,800108,840721,578384,889265,908332,512158,841369,870861,73662,899351,899332,30302,909547,847727,866803,887405,884014,30923,24058,58087,792851,824030,611705,754277,462657,34833,892404,30303,828726,828762,39812,857472,876216,69878,873608,651542,71720,800665,52468,39487,39488,794244,908865,756720,806242,906529,909455,749743,57979,41795,900151
899351,73662,899332,908332,866803,887405,792851,824030,857472,792811,906529,841289,728041,908363,908364,895091,41795,43098,792809,792853,792810,887351,795324,773092,896094,845689,907147,876216,901407,869875,841369,582563,737072,847727,629881,870861,884014,596782,808494,909547,30302,58087,815757,458396,806242,773375,30303,34833,889265,754277,887463,800108,840721,892656,512158,851487,578384,611705,701032,268204,696816,30300,30301,831715,30299,792816,651541,824037,792815,30334,884031,903521,895093,68786,68785,899354,904752,756720,792798,799953,818826,462657,562614,749743,828726,828762,57979,892404,30923,39812,24058,909455,791229,864030,34827,34825,34826,34820,805041,66432
869861,892727,752238,793352,898070,742664,62334,822505,755390,847747,743413,890188,897294,47487,871873,879576,859077,903165,755545,751179,793863,808995,745474,823135,793333,776905,857442,744093,770590,774376,809434,886259,884522,827140,825344,730844,847360,866899,802364,252706,774001,829877,793816,579187,889242,851475,873516,860150,860149,896237,803896,788955,833277,859131,822550,766601,902179,817968,838638,810680,864019,817983,837441,859212,840324,841932,804963,785330,829491,809430,871168,68254,67884,876266,860116,857443,900139,758731,574986,817705,574961,574985,847411,479459,574987,858527,835141,832418,833248,844080,836041,817995,757712,805492,877093,375581,843360,818037,715050,838468
678874,63414,400355,780510,798356,871033,60380,568593,48672,873526,458622,653269,552576,403290,887423,661899,506864,506865,895300,869944,745155,745164,821477,855712,451358,64483,64484,747125,653746,866893,875835,773375,884014,876216,697916,743932,870861,847727,859341,824030,787378,841369,857472,792851,896094,887405,795324,58087,756720,773092,895091,845689,846856,512158,792810,792853,792811,792809,841289,837457,728041,908363,908364,43098,73266,866803,887351,899332,899351,73662,821308,802600,38204,30302,268204,701032,889265,909547,696816,30303,582563,906529,34833,887479,30300,908332,30301,831715,907147,30299,754277,876237,800108,887463,851487,737072,792816,651541,840721,824037
866893,653746,747125,64483,64484,451358,821477,869944,745155,745164,855712,506865,506864,895300,552576,653269,873526,458622,887423,403290,48672,568593,60380,871033,661899,63414,780510,400355,678874,798356,614994,396452,395109,892404,39812,888550,462657,805041,611705,34820,34827,34826,34825,869732,887424,889421,49327,73618,888808,884527,863109,855683,873633,66432,828726,828762,791229,754277,595358,864030,708233,623128,34833,794244,39488,39487,744206,52468,800665,71720,908244,651542,877344,843274,70266,30303,840633,534081,38204,755195,873869,577455,908865,30302,909547,562614,30923,24058,806242,756720,58087,841098,855701,792941,547999,458396,909349,711559,815757,808494
751101,766617,855699,836961,61810,838736,897320,810000,822281,847753,826210,785517,876266,67884,462728,44047,70786,860116,55816,758731,70267,751981,901653,803896,810680,840324,794804,793333,745474,793863,751179,755545,857442,823135,884522,886259,809434,770590,744093,730844,859077,903165,252706,871873,879576,774376,829877,890188,847360,47487,897294,866899,802364,808995,774001,788955,743413,825344,776905,873516,793816,579187,902179,859131,860150,860149,766601,838638,822550,817968,889242,833277,896237,864019,837441,817983,851475,841932,785330,859212,829491,755390,871168,809430,68254,804963,793352,752238,892727,62334,742664,817705,847411,479459,822505,847747,836041,844080,833248,858527
901844,843125,892722,802773,714220,838474,765525,71999,838883,841097,878538,43645,898068,761844,818275,858529,838741,838786,779615,838467,773302,808936,820121,779137,715047,694367,831493,765017,842976,808253,883283,790211,575000,757605,765792,895092,882272,885661,574988,797436,810039,901921,843360,806159,715050,838468,753114,829196,818037,414123,475554,877093,817995,805492,523799,858527,833248,844080,836041,832418,375581,835141,846623,706654,793447,522421,757712,795210,479459,846822,857443,900139,574986,799007,574961,574985,865501,865502,763546,574987,863914,847411,817705,756316,841981,820217,771934,858528,829962,840989,862966,799367,894844,68254,871168,809430,759853,819499,771924,800535
869875,901407,907147,737072,582563,887351,43098,808494,908364,908363,596782,728041,841289,792853,792811,458396,845689,773092,815757,792809,792810,895091,896094,795324,578384,892656,840721,800108,887463,851487,904752,899354,68785,68786,895093,903521,884031,30334,792815,824037,651541,889265,792816,30299,831715,30301,30300,908332,696816,701032,268204,818826,799953,792798,841369,73662,899351,899332,909547,30302,512158,866803,847727,870861,887405,30923,884014,24058,792851,58087,611705,824030,828762,828726,754277,34833,857472,30303,462657,39812,892404,69878,876216,794244,39487,39488,52468,800665,71720,651542,873608,908865,806242,749743,906529,57979,909455,756720,41795,629881
