id,is_rental,is_commercial,rent,price,num_bedrooms,area,x,y,num_rooms,num_bathrooms,pets,ownership_id,is_new_development,common_charges,is_furnished,financing_allowed,commission
894458,1,0,7495.0,,1.0,,-73.9817276000977,40.739753723144496,3.0,1.5,5.0,17.0,0,,1,100.0,
70266,1,0,4000.0,,1.0,,-73.98154649999998,40.7704996,,1.0,5.0,13.0,0,,0,100.0,
582563,1,0,4250.0,,2.0,900.0,-73.96991170000003,40.752026,3.0,1.0,1.0,13.0,0,,0,100.0,
899351,1,0,5800.0,,3.0,,-73.94161919999998,40.81552670000001,5.0,2.0,1.0,17.0,0,,0,100.0,
869861,0,0,,549000.0,0.0,,-73.9842289,40.7492776,1.0,1.0,1.0,3.0,0,,0,100.0,
678874,1,1,40000.0,,,7125.0,-74.01060485839841,40.714759826660206,,5.0,1.0,7.0,0,,0,100.0,
866893,1,1,2200.0,,,900.0,-73.98899449999998,40.7476304,1.0,1.0,5.0,7.0,0,,0,100.0,
751101,0,0,,895000.0,1.0,,-73.9708301,40.7532953,3.0,1.0,6.0,15.0,0,785.0,0,90.0,
901844,0,0,,2500000.0,3.0,1706.0,-73.98155212402341,40.7297592163086,5.0,2.5,1.0,15.0,0,1393.0,0,90.0,
869875,1,0,2000.0,,2.0,1000.0,-73.93586729999998,40.7968666,4.0,1.0,1.0,5.0,0,,0,100.0,
788955,0,0,,999999.0,1.0,800.0,-73.98161640000002,40.7628311,4.0,1.0,1.0,15.0,0,1103.0,0,,
815757,1,0,1575.0,,,,-73.94629299999997,40.829071899999995,1.0,1.0,1.0,17.0,0,,0,100.0,
845689,1,0,,,,,-73.9750595092773,40.791206359863295,,,1.0,17.0,0,,0,100.0,
609860,0,1,,17000000.0,,15000.0,-73.99153280000002,40.7430445,,,5.0,21.0,0,,0,75.0,0.0
892656,1,0,3450.0,,1.0,,-74.0088272094727,40.732723236084,4.0,1.0,1.0,14.0,0,,0,100.0,
860921,0,0,,5750000.0,4.0,4017.0,-74.0075225830078,40.7467460632324,8.0,3.5,5.0,15.0,0,2808.0,0,90.0,
792851,1,0,10250.0,,3.0,,-74.0055847167969,40.711601257324205,6.0,2.5,1.0,5.0,0,,0,100.0,
869944,1,1,7500.0,,,700.0,-73.9958419799805,40.722560882568395,,,4.0,7.0,0,,0,100.0,
890188,0,0,,715000.0,1.0,,-73.9817405,40.741431799999994,3.0,1.0,1.0,3.0,0,,0,100.0,
888808,1,0,3600.0,,1.0,625.0,-73.9640963,40.7547951,3.0,1.0,5.0,5.0,0,,0,100.0,
745474,0,0,,1095000.0,1.0,609.0,-73.98712899999998,40.725646999999995,3.0,1.0,1.0,15.0,0,998.0,0,90.0,
863914,0,0,,2500000.0,4.0,2100.0,-74.00706481933591,40.7048683166504,5.0,4.0,1.0,15.0,0,2638.0,0,100.0,
41795,1,0,5250.0,,4.0,1400.0,-73.97082119999997,40.7550402,6.0,2.0,1.0,5.0,0,,0,100.0,
860116,0,0,,725000.0,1.0,800.0,-73.96459399999998,40.757564,3.0,1.0,4.0,3.0,0,,0,75.0,
745155,1,1,10000.0,,,500.0,-73.97648690000001,40.7499533,,,5.0,7.0,0,,0,100.0,
30303,1,0,6045.0,,2.0,1400.0,-73.95135498046879,40.769989013671896,4.5,2.0,4.0,5.0,0,,0,100.0,
880203,0,0,,3600000.0,5.0,,-73.966667175293,40.752857208252,8.0,5.5,1.0,3.0,0,,0,50.0,2.5
808494,1,0,1875.0,,,,-73.9427185058594,40.8006591796875,2.0,1.0,1.0,5.0,0,,0,100.0,
834217,0,0,,17500000.0,7.0,8300.0,-74.00001300000002,40.74212929999999,12.0,7.5,1.0,20.0,0,,0,,
416378,1,0,2500.0,,2.0,,-74.009416,40.716269,4.0,2.0,4.0,5.0,0,,1,100.0,
884527,1,0,3929.0,,1.0,,-73.99774050000002,40.761163700000004,3.0,1.0,5.0,5.0,0,,0,100.0,
771934,0,0,,9000000.0,4.0,4961.0,-73.99443359999998,40.742180499999996,8.0,3.5,1.0,15.0,0,2744.0,0,90.0,
747125,1,1,6750.0,,,400.0,-74.00675160000003,40.7331756,,,5.0,7.0,0,,0,100.0,
701032,1,0,6000.0,,1.0,700.0,-73.98222240000003,40.7563375,3.0,1.0,1.0,15.0,0,,0,100.0,
857442,0,0,,995000.0,1.0,706.0,-74.00706481933591,40.7048683166504,3.0,1.0,1.0,15.0,0,913.0,0,90.0,3.0
886259,0,0,,985000.0,1.0,815.0,-74.01731310000002,40.7096944,3.0,1.0,1.0,15.0,0,978.0,0,90.0,2.5
67884,0,0,,234000.0,1.0,,-73.94302399999998,40.843790999999996,3.0,1.0,4.0,3.0,0,,0,90.0,
851475,0,0,,2250000.0,1.0,2064.0,-73.967001,40.756366,3.0,2.0,1.0,15.0,0,2709.0,0,80.0,2.5
887423,1,1,,,,,-73.97770849999999,40.74260659999999,,,,7.0,0,,0,100.0,
696816,1,0,5200.0,,1.0,700.0,-73.98222240000003,40.7563375,3.0,1.0,1.0,15.0,0,,0,100.0,
