id,address,display_address,gAddress,geo_accuracy,street_address,house_num,street,city_id,state_id,zipcode,country_id,apt_num,bldg_id,is_rental,is_no_fee,is_furnished,is_commercial,listing_type,is_available,list_on_web,is_approved,available_on,status,headline,slug,description,pets,currency_id,rent,security_deposit,min_lease_term,max_lease_term,price,common_charges,real_estate_tax,taxes,maintenance,financing_allowed,show_price,commission,assessment,assessment_amount,assessment_date,assessment_expiration_date,assessment_pay_period,is_new_development,max_price,min_unit_area,max_unit_area,max_num_bedrooms,area_units,area,num_rooms,num_bedrooms,num_bathrooms,floor,lot_size_units,lot_size,exterior_sf,block,tax_lot,zoning,ownership_id,property_type_id,type_other,cross_street,neighborhood_id,region_id,show_house_num,show_apt_num,show_street,show_building_name,marketing_group_id,office_id,external_url,source,broker_id,comments,extra,listed_on,listed_by_agent_id,created_on,modified_on,created_by_agent_id,last_mod_by_agent_id,sort_score,last_scored,extra_keywords,meta_description,geo,rental_period,rental_registration,market_stage,x,y,xy
894458,"218 East 25th Street, New York, NY 10010 USA",218 E 25th St,"218 E 25th St, New York, NY 10010, USA",8.0,218 East 25th Street,218,East 25th Street,1.0,43.0,10010.0,231.0,2,75582.0,1,0,1,0,2,1,1,1,2018-07-01,1,Breathtaking furnished loft with 20' high ceilings and a private terrace in Murray Hill,1-br-apartment-manhattan-ny,"<p>APARTMENT WILL BE FULLY FURNISHED. AVAILABLE FROM 07/01/2018 TO 09/30/2018! Come see this very rare and one of a kind duplex loft in a beautiful brownstone. The loft features soaring 24 ft. ceilings, a wood burning fireplace and a private terrace. Situated in a historic townhouse, this unique residence has a huge living room with six oversized windows, a large sky light, exposed brick and prewar cast-iron trelliswork. There is a half bath on the living room floor and an eat-in windowed kitchen with Gaggenau Range, double ovens, dishwasher and lots of storage. A floating wide planked staircase leads into the large sleeping loft with 8 ft. ceilings. There is also a private terrace with outdoor furniture, water and electric for entertaining and gardening, and centrally heat and air complete this amazing apartment. The townhouse is conveniently located on 25th street and 3rd Avenue close to transportation, shopping, parks, restaurants and much more. Please call or email for a private showing today. This rare loft will not last long!</p>",5.0,1,7495.0,7495.0,2.0,3.0,,,,,,100.0,1,,0,,,,,0,,,,,1,,3.0,1.0,1.5,,1,,,,,,17.0,19.0,,3rd Avenue,110.0,1,1,1,1,1,,1,,0,,,,2018-06-27 20:10:10.939712+00,1211.0,2018-06-27 20:10:11.346225+00,2018-06-28 16:19:40.598081+00,1211.0,1211.0,2171.55097075184,2018-07-17 04:48:56.227172+00,,,0101000020E6100000030000A0D47E52C0FCFFFF3FB05E4440,0,,2,-73.9817276000977,40.7397537231445,-3013.9973624407426
70266,"30 West 63rd Street, New York, NY 10023, USA",West 63rd Street,"30 West 63rd Street, New York, NY 10023, USA",8.0,30 West 63rd Street,30,West 63rd Street,1.0,43.0,10023.0,231.0,,,1,0,0,0,2,1,1,0,,1,"Lincoln Center / Upper West Side Luxury / 1  Bedoom,  1 Bath   $ 4,000/month",1-bedoom-living-room-1-bath-4000-pm,"<p class=""p1"">
	Sweeping Views of Central Park, Lincoln Center, Columbus Circle, and the Hudson River</p>
<p class=""p1"">
	Magnificent Award-Winning Penthouse Residents&#39; Club with Pool &ndash; The Oasis</p>
<p class=""p1"">
	Dramatic Contemporary Lobby, featuring a Dale Chihuly Chandelier</p>
<p class=""p3"">
	Live on top of the world. A rare opportunity to live in this glamorous home plus a membership to the exquisite Oasis Club. Furnished or Unfurnished. Luxury at its very best with Sweeping Hudson River Views! Brilliant sun filled rooms. Live in a truly stunning Upper West Side 2 Bedroom 2.5 Bathroom home. Designer renovated with exceptional finishes and top-of-the-line details. Impeccably furnished, sleek and contemporary. Featuring gorgeous hardwood floors, state of the art appliances, custom window storage cabinetry enclosed a/c units, dramatic panoramic river and Central Park views. Extra large master bedroom offers an en suite bathroom with soaking tub and beautiful fixtures. The Living room is open with a large separate area for an office or dining. The building has recently undergone an extensive modern renovation including an exquisite Chihuly art sculpture in the 3-story lobby. In addition to white glove service, concierge and doorman, you can drive up your driveway in elegant style and be ushered in the building. The property boasts an award winning rooftop Oasis Club including spectacular views of the whole city, state of the art fitness club, swimming pool, and a gorgeous club room with an incredible outdoor terrace where you can dine and relax. This is truly a wonderful home in the most sophisticated of luxury. A half block to Central Park, close to the Lincoln Center and the grand shopping at&nbsp;Time Warner and Columbus Circle.&nbsp;</p>
<table cellpadding=""0"" cellspacing=""0"" class=""t1"" width=""650"">
	<tbody>
		<tr>
			<td class=""td1"" valign=""bottom"">
				<p class=""p1"">
					&nbsp;</p>
			</td>
			<td class=""td2"" valign=""bottom"">
				&nbsp;</td>
		</tr>
		<tr>
			<td class=""td1"" colspan=""2"" valign=""bottom"">
				<p class=""p2"">
					BUILDING DETAILS:</p>
				<p class=""p3"">
					<span class=""s1"">&middot;</span><span class=""s2"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span>Central Laundry</p>
				<p class=""p3"">
					<span class=""s1"">&middot;</span><span class=""s2"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span>Children&#39;s Room</p>
				<p class=""p4"">
					<span class=""s1"">&middot;</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <span class=""s3"">Concierge</span></p>
				<p class=""p3"">
					<span class=""s1"">&middot;</span><span class=""s2"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span>Exercise Room</p>
				<p class=""p3"">
					<span class=""s1"">&middot;</span><span class=""s2"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span>Full Time Doorman</p>
				<p class=""p4"">
					<span class=""s1"">&middot;</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <span class=""s3"">Garage</span></p>
				<p class=""p3"">
					<span class=""s1"">&middot;</span><span class=""s2"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span>Health Club</p>
				<p class=""p3"">
					<span class=""s1"">&middot;</span><span class=""s2"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span>Laundry on Each Floor</p>
				<p class=""p4"">
					<span class=""s1"">&middot;</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <span class=""s3"">Pool</span></p>
				<p class=""p3"">
					<span class=""s1"">&middot;</span><span class=""s2"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span>Private Storage</p>
				<p class=""p3"">
					<span class=""s1"">&middot;</span><span class=""s2"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span>Recreation Room</p>
				<p class=""p4"">
					<span class=""s1"">&middot;</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <span class=""s3"">Roof Deck</span></p>
				<p class=""p4"">
					<span class=""s1"">&middot;</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <span class=""s3"">Valet</span></p>
			</td>
		</tr>
	</tbody>
</table>
<p class=""p3"">
	&nbsp;</p>
",5.0,1,4000.0,,,,,,,,,100.0,1,,0,,,,,0,,,,,1,,,1.0,1.0,,1,,,,,,13.0,,,,3.0,1,1,1,1,1,,2,,0,,"30 West 63rd Street, New York, NY, 10023
Apt: 5W",,2014-01-13 19:27:35.671394+00,943.0,2014-01-13 19:27:35.74477+00,2015-09-24 10:46:38.063685+00,943.0,943.0,1602.12987278074,2018-07-18 11:23:04.45523+00,,,0101000020E6100000344069A8D17E52C061CA1BBB9F624440,0,,1,-73.98154649999998,40.7704996,-3016.2646119856304
582563,"310 E 46th St, New York, NY 10017, USA",310 E 46th St,"310 E 46th St, New York, NY 10017, USA",8.0,310 East 46th Street,310,East 46th Street,1.0,43.0,10017.0,231.0,,,1,0,0,0,2,1,1,1,,1,Midtown East Convertible Two Bedroom Apartment for Rent with Iconic City Views -  Near Grand Central and United Nations - Many Others Available - Call for Showings!,turtle-bay-towers-2-br-highrise-midtown-east-manhattan,"<div>
<h1>Midtown East Convertible Two Bedroom Apartment for Rent with Iconic City Views -  Near Grand Central and United Nations - Many Others Available - Call for Showings</h1>
<h1> </h1>
<h2>Corner Apartment with Double High Loft Like Ceilings w/ Oversized Windows, Triple Exposure of South, West &amp; North, Breath Taking City Views. Plus Private Storage Unit!!!</h2>
<h2>Apartment</h2>
<p>This Newly Renovated Large One Bedroom Sun Drenched Condo can be converted to a Two Bedroom and is conveniently located by Murray Hill/ Midtown East Neighborhood.  Beautiful views of  New York City which include the the Chrysler Building are easily viewable from living room, kitchen and bedroom.  This large apartment has hardwood floors and plenty of natural light.</p>
<p>The open kitchen has plenty of space to cook,  with stain steel appliances, full size oven,granite counter tops and Dishwasher it can host a large dinner partly if needed.  The bathroom was recently upgraded, covered in marvelous marbled and new fixtures. When it comes to closet space and extra storage no need to look any further, the apartment has more than three large closets and its own private storage unit that is the size of a small bedroom(separate floor private access). </p>
<h2> </h2>
<h3>Building</h3>
<p>Turtle Bay Towers is a full-service building, with live-in super, 24 hour doorman, roof deck, laundry on premises Set on a serene stretch of Midtown East just down the block from the United Nations Headquarters, Turtle Bay Towers is a full-service luxury building set in a historic prewar property. Built in 1929 as an NYC design school and known for its striking terraced façade, the 27-story tower was briefly home to a print factory. In 1979, its careful conversion to 338 luxury apartments was noted with the First Honor Award from the American Institute of Architects. The apartments here feature 12- to 14-foot ceilings, with some offering wide-open views of the Midtown skyline and the East River.</p>
<p>On-site amenities at this pet-friendly property include a large renovated lobby with two sitting areas, a rooftop terrace, laundry, storage, bike room, and a parking garage, plus 24-hour doorman service and a live-in super. As a condop, Turtle Bay Towers combines all the attraction of a graceful prewar property with the flexibility of a condo: no formal board approval, an open sublet policy and pied-a-terres allowed.</p>
<p>With a venerable history dating back to New Amsterdam, Turtle Bay is the most tranquil corner of Midtown Manhattan, known for its quiet tree-lined streets and beautiful green spaces. United Nations Plaza is just down the street, while Grand Central Station is a few blocks in the other direction and all the appeal of living in the heart of Manhattan is moments away.</p>
<p>Please contact Howard or Eyal for immediate showing</p>
</div>",1.0,1,4250.0,,,,,,,,,100.0,1,,0,,,,,0,,,,,1,900.0,3.0,2.0,1.0,19,1,,,,,,13.0,32.0,,Second Ave,4.0,1,1,0,1,0,,3,,0,,,,2016-04-04 15:35:24.182317+00,734.0,2016-04-04 15:35:24.395345+00,2018-03-29 15:36:56.79578+00,734.0,734.0,1613.6284158010901,2018-07-16 00:27:06.095106+00,,,0101000020E610000080E08508137E52C0F0DE516342604440,0,,2,-73.96991170000001,40.752026,-3014.4237648161047
899351,"135 W 136th St, New York, NY 10030, USA",135 W 136th St,"135 W 136th St, New York, NY 10030, USA",8.0,135 West 136th Street,135,West 136th Street,1.0,43.0,10030.0,231.0,1F,,1,0,0,0,2,1,1,1,,1,Brand New Duplex with a outdoor garden for Rent - 3Beds and 2Baths,4-br-townhouse-harlem-manhattan-ny,"<div><p>Be the first one to live in this stunning completely renovated 3 Bedrooms and 2 Bathrooms DUPLEX with Large PRIVATE BACKYARD located in Prime Central Harlem. Everything is Brand New~</p>
<p>This duplex unit features  </p>
<ul>
<li>High Ceilings and Hardwood Floors</li>
<li>Recessed LED lightings and hardwood floors throughout the duplex unit</li>
<li>High Ceilings and Hardwood Floors</li>
<li>An individual Central air-conditioning system</li>
<li>Brand New stainless steel appliances and fixtures in open kitchen layout</li>
<li>Abundant closet spaces including huge walk-in closet in one of the bedrooms</li>
<li>Bedrooms have large windows and all bedrooms will fit a KING or QUEEN</li>
<li>New fixtures, lights and cabinets in both bathrooms</li>
<li>Closets in All bedrooms</li>
<li>New washer and dryer</li>
<li>Many closets in Hallways throughout the apt</li>
<li>Newly built Private outdoor garden</li>
</ul>
<p>Prime South Harlem location. Just a few steps to 2/3 express trains and ACE trains is less than two blocks away and there are many buses around the block. <br />
 </p></div>",1.0,1,5800.0,5800.0,12.0,24.0,,,,,,100.0,1,,0,,,,,0,,,,,1,,5.0,3.0,2.0,1,1,,,,,,17.0,4.0,,,1.0,1,1,1,1,1,,8,,0,,,,2018-07-05 19:42:54.22871+00,876.0,2018-07-05 19:42:57.925961+00,2018-07-12 21:33:47.39473+00,876.0,876.0,2265.02812279918,2018-07-17 05:57:37.172355+00,,,0101000020E610000048522D7D437C52C0E6C1CC2D63684440,0,,2,-73.94161919999999,40.81552670000001,-3017.9661326988326
869861,"372 5th Ave, New York, NY 10018, USA",372 5th Ave,"372 5th Ave, New York, NY 10018, USA",8.0,372 5th Avenue,372,5th Avenue,1.0,43.0,10018.0,231.0,7J,,0,0,0,0,2,1,1,1,,3,double height loft sale - massive windows - perfect central location - prime 5th avenue home - 549k!,studio-apartment-midtown-east-manhattan-ny,"<div>
<p>This stunning seventh floor loft apartment is well renovated with features like modern built-in shelving, customized closets throughout, stainless steel appliances &amp; granite counters. Super high ceilings and tons of natural sunlight greet you as you enter this sizeable loft home. Renovated kitchen and bath make for a very comfortable living situation.  Additional apartment features include over-sized windows, dimmers on lights, thermostat-controlled central heating and cooling system, gracious 15-foot ceilings, and bright eastern exposure with open city views. 372 Fifth Avenue is a Pre-War Loft Building with a full-time doorman, a spectacular roof deck , and laundry facilities on every floor.</p>
<p>High demand for this location means the home will not be available long. Take a look at the attached map image to see just how central and convinient this locale really is.</p>
<p>Building Type: Loft: Building Style: Limestone Service Level: Full Time Doorman Size: 10 Floors. 123 Apartments. Age: Pre-war. Built: 1920. Converted to co-op in 1980. Access: Elevators [2]Architect: Lloyd A. Goldfarb Amenities: Bike Room. Laundry Room On Every Floor. Rooftop Deck. Building Policies: Pieds-a-Terre Allowed. W/D Not Allowed. Sales Policies: Co-Purchasing Allowed. Parental Purchasing Allowed. Guarantors Allowed. Pet Policy: Pets Allowed. Sublet Policy: Allowed, Minimum Term: 12 months, Maximum Term: 24 months. Four years residency required. Financing: 75% Tax Deductibility 59% Transfer Fee 2%. Payable By Seller. Inclusions: Gas.</p>
<p>Private showings by appointment only.</p>
</div>",1.0,1,,,,,549000.0,,,,1479.0,100.0,1,,0,,,,,0,,,,,1,,1.0,0.0,1.0,7,1,,,,,,3.0,19.0,,East 35th Street,4.0,1,1,1,1,1,,2,,0,,,,2018-05-25 18:42:17.149819+00,1088.0,2018-05-25 18:42:23.484524+00,2018-07-03 14:46:21.57514+00,1088.0,1088.0,2159.00350058001,2018-07-19 04:14:12.751156+00,,,0101000020E6100000CC51369BFD7E52C00CD01154E85F4440,0,,3,-73.9842289,40.7492776,-3014.8038814680426
678874,"75 Murray Street, New York, NY 10007 USA",75 Murray Street,"75 Murray Street, New York, NY 10007, USA",8.0,75 Murray Street,75,Murray Street,1.0,43.0,10007.0,231.0,"Lower, Main & 2nd Level",14424.0,1,1,0,1,2,1,1,1,2016-04-01,1,TriBeCa: 75 Murray Street - Bogardus Building - 3 Level Commercial Space For Lease - Landmarked Cast-Iron Facade Built 1857,bogardus-building-commercial-murray-street-soho-tribeca-manhattan-ny,"<div>
<p>Harry Zikos of Nest Seekers International has been retained on an exclusive basis to represent 3 levels of commercial space available for lease at the landmarked Bogardus Building located at 75 Murray Street in TriBeCa, nestled on the north side of the block between West Broadway &amp; Greenwich Street. The 25 foot wide cast-iron elevator building sits seconds from both Chambers Street 1,2,3, A &amp; C train stations, in the C6-2A district, which is a commercial district outside the Central Business District. The building was built and designed by world renowned, James Bogardus in 1857 for the glassware manufacturing business of Francis &amp; John Hopkins.</p>
<p>The main-ground level space, formerly occupied by Trinity Grace Church, invites you into a historic 19th century time capsule, greeted by double arch French doors and exposed brick in the lobby. The grandeur of the main level’s width and 14 foot ceilings is superimposed by the massive skylight that looks onto a courtyard. The ground and lower level have 600 amps of electrical service.</p>
<p>The lower level, formerly a caviar bar, preceded by a speak-easy jazz bar, is accessible by the elevator and boasts 11 foot ceilings. There is also a small kitchen area and large baths. The lower level also shares a generous and open floorplan which allows a wealth of use cases for numerous entity types.</p>
<p>The second level has 200 amps of electrical service and enjoys elevator access, 12 foot high ceilings, wide planked wood floors, exposed brick and renovated bathrooms. The signature of historic TriBeCa is illustrated by the openness of the space with southern exposure on from the original landmarked cast iron façade windows.</p>
<p>The neighborhood offers tremendous potential to organizations who need to be close to their clients, highly accessible private and public transportation hubs, vendors and booming demographics.  Some neighboring attractions, institutions and AAA tenants include Whole Foods, Equinox, Goldman Sachs New York headquarters, Bed Bath &amp; Beyond, Stuyvesant High School, 1 World Trade Center, Fulton Center, New York Stock Exchange, Deutsche Bank, Verizon corporate offices, Brooklyn Bridge, City Hall, Borough of Manhattan Community College, numerous art galleries, TD Bank, Capital One Bank, Bank of America, Chipotle, Le Pain Quotidien and countless more!</p>
<p><strong>Total Space Available: Approximately 7125 SQ FT (3 Combined Levels)</strong></p>
<p><strong>Lower Level: Approximately 2375 SQ FT</strong></p>
<p><strong>Main Level: Approximately 2375 SQ FT</strong></p>
<p><strong>Second Level: Approximately 2375 SQ FT</strong></p>
<p><strong>Asking price disclosed upon request. Landlord will consider all use types and leasing each space separately. </strong></p>
<p>Contact Harry Zikos for more information and for a private showing of this rare historical commercial lease opportunity. Showings done by appointment only.</p>
</div>",1.0,1,40000.0,,,,,,,,,100.0,0,,0,,,,,0,,,,,1,7125.0,,,5.0,"Lower, Main, Second",1,,,,,C6-2A,7.0,11.0,,West Broadway,11.0,1,1,1,1,1,,2,,0,,,,2017-01-31 13:53:30.515294+00,2027.0,2017-01-30 22:15:48.155001+00,2018-06-20 03:59:07.393857+00,2027.0,2027.0,1851.02565101943,2018-07-17 05:33:30.616903+00,,,0101000020E6100000FDFFFFBFAD8052C0060000407D5B4440,0,,2,-74.0106048583984,40.7147598266602,-3013.324001435541
866893,"872 6th Ave, New York, NY 10001, USA","872 6th Ave NY, NY 10001","872 6th Ave, New York, NY 10001, USA",8.0,872 6th Avenue,872,6th Avenue,1.0,43.0,10001.0,231.0,"872 6 avenue, 4th floor, nY, NY 10001",,1,0,0,1,2,1,1,1,2018-06-04,1,4th Fl Retail/Office Loft/6 Avenue 31st /Walk up,lowrise-midtown-west-manhattan-ny,"<p>Great Central Location : 31 street &amp; 6 Avenue<br />
<br />
Walk Up<br />
<br />
No Massage Users, Spa or Water involved business<br />
<br />
24/7 Building<br />
<br />
One year lease!<br />
<br />
Chelsea is a neighborhood on the West Side of the borough of Manhattan in New York City. The district's boundaries are roughly 14th Street to the south, 30th Street to the north, the western boundary of the Ladies' Mile Historic District which lies between the Avenue of the Americas (Sixth Avenue) and Seventh Avenue to the east, and the Hudson River and West Street to the west. To the north of Chelsea is the neighborhood of Hell's Kitchen, also known as ""Clinton,"" to the northeast is the Garment District, to the east are NoMad and the Flatiron District, to the southwest is the Meatpacking District and to the southeast is the West Village. Chelsea is divided between Manhattan Community Board 4 and Manhattan Community Board 5. It contains the Chelsea Historic District and its extension, which were designated by the New York City Landmarks Preservation Commission in 1970 and 1981, respectively, and added to the National Register of Historic Places in 1977, expanded in 1982 to include contiguous blocks containing particularly significant examples of period architecture. The neighborhood is primarily residential, with a mix of tenements, apartment blocks, city housing project</p>",5.0,1,2200.0,,12.0,12.0,,,,,,100.0,1,,0,,,,,0,,,,,1,900.0,1.0,,1.0,4,1,,,,,,7.0,3.0,,31street,5.0,1,1,1,1,1,13.0,5,,0,,,,2018-05-22 18:50:51.6762+00,911.0,2018-05-22 18:50:52.804806+00,2018-05-26 20:30:00.310211+00,911.0,911.0,1931.41077509143,2018-07-17 05:39:55.337934+00,,,0101000020E6100000205B96AF4B7F52C069BF5A5AB25F4440,0,,2,-73.98899449999999,40.7476304,-3014.876201553632
751101,"236 E 47th St, New York, NY 10017, USA",236 E 47th St,"236 E 47th St, New York, NY 10017, USA",8.0,236 East 47th Street,236,East 47th Street,1.0,43.0,10017.0,231.0,23-C,,0,0,0,0,2,1,1,1,2018-07-11,1,** Midtown East Hi Floor** mint Condition **one bedroom Condo**Luxury living,1-br-hirise-midtown-east-manhattan-ny,"<div>
<p>23-C resident at 236 E.47 St is newly renovated one bedroom in a luxury 24 hr doorman.</p>
<p>walk in to a bright living room with North/East open view. </p>
<p>New renovated kitchen with all new SS appllicense </p>
<p>living room with north and east river view bright and open</p>
<p>kings size bed room with large closet</p>
<p>newly done bath.</p>
<p>Ameneties incloude </p>
<p>24 Hr. door man</p>
<p>Roof deck</p>
<p>Laundry room </p>
</div>",6.0,1,,,,,895000.0,785.0,632.0,,,90.0,1,,0,,,,,0,,,,,1,,3.0,1.0,1.0,,1,,,,,,15.0,32.0,,,4.0,1,1,1,1,1,,8,,0,,"Derrick Chou 
516.567.0265
will pay 3% Comm.",,2017-08-24 15:16:03.773054+00,932.0,2017-08-24 15:16:05.99084+00,2018-07-11 14:59:24.320961+00,932.0,932.0,1982.41101711482,2018-07-17 06:59:52.156255+00,,,0101000020E61000003C5E9214227E52C081DDFAFA6B604440,0,,2,-73.9708301,40.7532953,-3014.555082651428
901844,"442 East 13th Street, New York, NY 10009 USA",442 E 13th St,"442 E 13th St, New York, NY 10009, USA",8.0,442 East 13th Street,442,East 13th Street,1.0,43.0,10009.0,231.0,2nd Floor,96099.0,0,0,0,0,2,1,1,1,2018-07-10,1,East Village Newest Luxury Loft Living Development,thirteen-east-west-2-br-apartment-manhattan-ny,"<div>
<p>**AUGUST 2018 OCCUPANCY**<br /><br />
Introducing THIRTEEN EAST + WEST at 436 and 442 East 13th Street, the first residential building in New York City designed by world-renowned architectural firm Tabanlioğlu Architects, providing invigorating luxury loft living in the East Village. These rare state-of-the-art new construction buildings are located within the heart of the already booming neighborhood of downtown New York City.</p>
<p>A sun-drenched, full-floor home at the captivating new development THIRTEEN EAST + WEST in the East Village, this 2 bedroom with windowed den, and 2.5 bathroom loft blends a host of sophisticated finishes with a functional layout that smartly uses every inch of its 1,706 SF of space. The north side of the home contains a thoughtfully placed powder room and a massive, open-concept living room/dining room/kitchen with high sound rated floor-to-ceiling windows. The kitchen—crafted with the thought of entertaining guests—features Alta Italia walnut kitchen cabinetry, Calacatta Bluette natural stone countertop and backsplash, a Blanco dual compartment sink, a Grohe gooseneck fauet and wall-mounted pot filler, and full Miele appliance package, including under-the-counter wine fridge. The south side of the residence consists of a secluded windowed home office and a pair of roomy, sun-filled south facing bedrooms faced with gorgeous Lualdi Italian doors. The master bedroom is fitted with a spacious Rosetto Italia closet and a luxurious, five-piece ensuite that boasts Montana Grey Marble floor with Volacas White polished walls and floors, a custom solid undermount tub with Montana Grey stone cladding, a Duravit toilet, Italian Newform Libera fittings &amp; fixtures, and a quartzite sink and double vanity, and a rain shower with LED lights with 3 control system, 6-body jet and handheld system. The second bedroom comes with its own closet space and sits adjacent to the apartment’s second full bathroom. Finishing the home is a vented washer and dryer.</p>
<p>Composed of two, six-story buildings with facades of chic metal panels and Accoya wood cladding, THIRTEEN EAST + WEST will offer 12 sun-drenched, full-floor two-bedroom homes, with floor-to-ceiling windows, private storage, balconies, and roof decks. Each building will feature one state-of-the-art penthouse with private roof deck and a private, single car parking garage.</p>
<p>Amenities in each building will include private storage rooms, a virtual doorman with smartphone capability, common rooftop, and a large key-accessed elevator. Located at 436 and 442 East 13th Street, THIRTEEN EAST + WEST is half a block from the L train on 14th Street and just one block from the new Target and Trader Joes.</p>
</div>",1.0,1,,,,,2500000.0,1393.0,1512.0,,,90.0,1,,0,,,,,0,,,,,1,1706.0,5.0,3.0,2.5,,1,,,,,,15.0,19.0,,First Avenue,10.0,1,1,1,1,1,,14,,0,,,,2018-07-10 20:00:01.502806+00,1391.0,2018-07-10 20:00:01.935264+00,2018-07-18 14:20:49.224886+00,1391.0,1391.0,2385.63425473803,2018-07-15 19:26:35.86454+00,,,0101000020E6100000FDFFFFBFD17E52C0010000C0685D4440,0,,2,-73.9815521240234,40.7297592163086,-3013.250804460257
869875,"334 E 117th St, New York, NY 10035, USA",334 E 117th St,"334 E 117th St, New York, NY 10035, USA",8.0,334 East 117th Street,334,East 117th Street,1.0,43.0,10035.0,231.0,2B,,1,1,0,0,2,1,1,1,,1,"334 East 117th St #2B, New York, NY 10029",2-br-apartment-harlem-manhattan-ny,"<p>No Fee!<br /><br />
2 bed railroad or 1 bedroom + home office. Located in the HEART of East Harlem!<br /><br />
The unit boasts hardwood floors throughout,high ceilings,exposed brick, and brand new kitchen.<br />
The entertaining space is massive with room for a dining and living area.<br /><br />
The unit is within minutes of the East River Plaza shopping center that includes many big box shopping stores such as Costco, Target, and Aldi. Tons of nightlife and restaurants options at your doorstep include, Nocciola Ristorante, Polash, Amor Cubano, and Patsy's Pizzeria. </p>",1.0,1,2000.0,,,,,,,,,100.0,1,,0,,,,,0,,,,,1,1000.0,4.0,2.0,1.0,,1,,,,,,5.0,19.0,,,1.0,1,1,1,1,1,,8,,0,,,,2018-05-25 19:13:53.298471+00,2179.0,2018-05-25 19:13:54.538409+00,2018-07-09 03:00:15.55549+00,2179.0,2179.0,2182.72031455283,2018-07-19 04:39:08.143814+00,,,0101000020E610000054B9F53FE57B52C02A2389B9FF654440,0,,2,-73.93586729999998,40.7968666,-3016.3517151934016
